slippery as an eel;aalglatt
One moment, please!;Einen Augenblick, bitte! 
quite, simply;einfach
idea, incidence, incursion, gag, freak;Einfall (m., ¨-e)
fall into, recall, remember;einfallen
simple, silly;einfältig
catch, capture, seize;einfangen
instill, infuse;einflößen
influence (n.);Einfluß (m., ¨-sse)
spearhead, introduce, implement;einführen
thorough, exhaustive;eingehend
deployed, invested;eingesetzt
admit, own, avow;eingestehen
guts, innards, intestines;Eingeweide (pl.)
insider, the well-informed;Eingeweihte (m., --)
esoteric;Eingeweihte, nur für
intervene, interfere, encroach;eingreifen
observe, practice, include;einhalten
native, indigenous, local;einheimisch
union, unity;Einheit (f., -en)
uniform, consistent;einheitlich
along, forth;einher
associate with, accompany;einhergehen mit
catch up with, make up for (lost time);einholen
some;einige
unite, come to agreement;einigen
tolerably, to some extent, reasonably;einigermaßig
harmony, unity;Einigkeit (f.)
purchase, buy (n.);Einkauf (m., ¨-e)
shop (v.);einkaufen
imprison;einkerkern
sue for;einklagen
vest, clothe, accouter;einkleiden
income, revenue, earnings;Einkommen (n., --)
income tax;Einkommensteuer (f., -n)
encircle, isolate;einkreisen
invite;einladen
admittance;Einlass (m.)
admit, allow in, engage in;einlassen
put in, lay in, enclose;einlegen
begin, institute, commence;einleiten
hospitalize, take to hospital;einliefern
endorse, cash;einlösen
one-time, nonrecurring, unique;einmalig
unanimous;einmütig
revenues, receipts, takings;Einnahmen (pl.)
take in, receive, ingest;einnehmen
solitude, desert;Einöde (f.)
classify, rank, arrange;einordnen
memorable;einprägsam
concede, come clean with;einräumen
straighten or sort s.th. out, set s.th. straight;einrenken
arrange, furnish, set up;einrichten
institution, facility, management;Einrichtung (f., -en)
lonely, secluded;einsam
collect (as in specimens);einsammeln
stakes, jackpot, mission, sortie;Einsatz (m., ¨-e)
insert, interpolate, switch on;einschalten
caution or warn to;einschärfen zu
value, rate, assess, appraise;einschätzen
check in;einschecken
fall asleep;einschlafen
lull to sleep, make drowsy;einschläfern
knock in, strike, be a success;einschlagen
enclose, include;einschließen
including, inclusive of;einschließlich
doze off, fall asleep, slumber;einschlummern
bullet hole;Einschlussloch (f.)
ingratiate, endear;einschmeicheln
become huffy, get into a huff, catch, click;einschnappen
confine, limit, restrict;einschränken
enlist, enroll, register, enter;einschreiben
certified or registered mail;Einschreiben (n., --)
hector, intimidate, browbeat, buffalo;einschüchtern
intimidate, bully;einschüchtern
see, understand, accept, appreciate;einsehen
one-sided, firm, unilateral;einseitig
applicable;einsetzbar
establish, install;einsetzen
insight, understanding, inspection;Einsicht (f., -en)
hermit, recluse;Einsiedler (m., --)
monosyllabic;einsilbig
imprison, put in jail, coop up;einsperren
fill in or substitute for;einspringen
once;einst
join, climb aboard;einsteigen
stop, suspend, cease fire (v.);einstellen
former;einstig
unanimous, of one voice, in unison;einstimmig
classify, rate;einstufen
collapse, cave in;einstürzen
meanwhile, for the time being;einstweilen
dip, dunk, steep, immerse, plunge;eintauchen
monotonous, humdrum, unvaried;eintönig
united, harmonious;einträchtig
register, enroll;eintragen sich
profitable;einträglich
arrive, happen, come true;eintreffen
collect, exact, drive in;eintreiben
enter, step in, take place;eintreten
in agreement with;einverstanden
objection, demur, exception;Einwand (m., ¨-e)
immigrate;einwandern
unobjectionable, sound, faultless;einwandfrei
consecrate, inaugurate, open;einweihen
object to, urge against;einwenden
throw in, interpose, interject;einwerfen
wrap;einwickeln
consent, agree;einwilligen
act on, affect;einwirken
impact, effect;Einwirkung (f., -en)
inhabitant;Einwohner (m., --)
single, one-on-one;Einzel-
retail;Einzelhandel (m.)
detail, particular;Einzelheit (f., -en)
individual, detached, lone, apart;einzeln
sole, single, only, exclusive;einzig
unique, singular, one-of-a-kind;einzigartig
squeeze in;einzwängen
skating rink;Eisbahn (f., -en)
iron (n.);Eisen (n., --)
ice cream cone;Eistüte (f., -n)
vain, frivolous, conceited;eitel
pus, matter;Eiter (m.)
boil, furuncle;Eiterbeule (f., -n)
fester, ulcerate;eitern
scandal, fuss, uproar, commotion;Eklat (m., -s)
elegant;elegant
misery, need, distress;Elend (n.)
cubit, measure, test;Elle (f., -n)
parental;elterlich
reception;Empfang (m., ¨-e)
receive;empfangen (empfängt, empfing, empfangen)
lobby (n.);Empfangshalle (f., -n)
recommend;empfehlen (empfiehlt, empfahl, empfohlen)
advisable, recommendable;empfehlenswert
feel, perceive;empfinden (empfindet, empfand, empfunden)
sensitive;empfindlich
up, upwards;empor
be outraged, angry;empören sich
ascend, climb up (as in stairs);emporsteigen
busy, industrious;emsig
definitive, final;endgültig
finally;endlich
ceaseless, endless, never-ending;endlos
energetic;energisch
close, familiar;engen
narrow-minded, insular, bigoted;engstirnig
enclave;Enklave (f.)
do without, dispense with, spare;entbehren
dispensable, expendable;entbehrlich
discover;entdecken
unfold, display;entfalten
unplug, disconnect, withdraw to;entfernen
remote;entfernt
removal, displacement, dislodgement;Entfernung (f., -en)
abduct, hijack, elope with;entführen
missing, lost (as in output);entgegangen
converse, opposite, across, opposing;entgegengesetzt
answer, reply;entgegnen
escape;entgehen
dumbfounded, flabbergasted;entgeistert
hold, contain;enthalten
refrain from, hold in;enthalten sich von
uncover, disclose, reveal;enthüllen
enfeeble, enervate, devitalize, wear out;entkräften
alongside, along;entlang
unmask, expose;entlarven
fire, dismiss, let go;entlassen
layoff, dismissal, discharge;Entlassung (f., -en)
relieve, unburden, exculpate, exonerate;entlasten
discourage, dishearten;entmutigen
emerge as, turn out to be;entpuppen
escape from;entrinnen
fill with indignation;entrüsten
be indignant at;entrüsten sich über
indignant;entrüstet
indemnify;entschädigen
defuse, mitigate, deactivate;entschärfen
decide;entscheiden
decisive;entscheidensten
decision;Entscheidung (f., -en)
determined, resolute, decided;entschieden
decide upon, resolve;entschließen sich
resolve, determination;Entschlossenheit (f., -en)
apologize;entschuldigen sich
Excuse me, please..;Entschuldigen Sie bitte.
send off, dispatch;entsenden
terrify, horrify, relieve (mil.);entsetzen
horrible, terrible, awful;entsetzlich
recall, remember, recollect;entsinnen sich
appropriate;entsprechend
arise from, emanate from, flow or spring from;entspringen
arise, originate from;entstehen
disappointed;enttäuscht
disarm;entwaffnen
either ... or;entweder ... oder
desecrate, profane;entweihen
plan, design, draft, draw up;entwerfen
develop, unfold, explain;entwickeln
give one the slip, escape;entwischen
plan, project, design (n.);Entwurf (m., ¨-e)
uproot;entwurtzeln
deprive, withdraw, take away;entziehen
charm, delight;entzücken
delightful;entzückend
ignite, catch fire;entzünden
epic;episch
epic;Epos (n., Epen)
He's slow to catch on.;Er hat eine lange Leitung. 
deem, consider, think;erachten
move to pity, take mercy on;erbarmen
pitiful, miserable, wretched;erbärmlich
merciless, pitiless, without remorse;erbarmungslos
heir;Erbe (m., -n)
heritage, inheritance;Erbe (n.)
inherit;erben
take as booty, steal, capture;erbeuten
fertile, productive, profitable;erbiegig
exacerbate;erbittern
exacerbation, exasperation;Erbitterung (f., -en)
behold, catch sight, see;erblicken
vomit;erbrechen
inheritance;Erbschaft (f., -en)
earthquake;Erdbeben (n., --)
to level, flatten;Erdboden gleichmachen (dem)
fictitious, invented, just a fable;erdichtet
landslide;Erdrutsch (m., -e)
occur, happen, come to pass;ereignen
event;Ereignis (n., -se)
experience, learn, be told, find out;erfahren
experience (n.);Erfahrung (f., -en)
seize, comprehend, grasp, list;erfassen
fiction, contrivance, invention;Erfindung (f., -en)
success, result, effect;Erfolg (m., -e)
ensue, follow, result;erfolgen
successful;erfolgreich
require;erforden
necessary, required;erforderlich
demand, require;erfordern
explore;erforschen
fulfill, comply with, fill;erfüllen
fulfilling;erfüllend
fictitious, contrived, invented;erfunden
complete, complement (v.);ergänzen
supplementary, ancillary, complementary;ergänzend
snatch, get hold of;ergattern
addict, result in, yield;ergeben
devoted, addicted, resigned;ergeben (adj.)
capitulate, surrender;ergeben sich
outcome, result;Ergebnis (n., -se)
resignation, surrender;Ergebung (f., -en)
fare (v.);ergehen
productive, economical, lucrative;ergiebig
seize, grasp, effect;ergreifen
sustain, nourish, maintain, receive;erhalten
impose, levy, raise, lift up;erheben
hefty, considerable, formidable;erheblich
illuminate, enlighten, shed light on;erhellen
heighten, raise, intensify;erhöhen
recover, recuperate, rest, relax;erholen
memory, recollection;Erinnerung (f., -en)
recognize, distinguish, discern;erkennen
explain, expound, declare;erklären
declaration;Erklärung (f., -en)
fall ill;erkranken
explore, find out, reconnoiter;erkunden
get information;erkundigen sich
inquire about, ask about;erkundigen sich nach
reach, attain;erlangen
pass, enact, decree;erlassen
permit, allow;erlauben
take the liberty of, be so bold as;erlauben sich
explain, illustrate, elucidate;erläutern
commentary, elucidation;Erläuterung (f., -en)
experience;erleben
finish;erledigen
relieved, eased;erleichtert
breathe a sigh of relief;erleichtert aufatmen
suffer, endure;erleiden
dim, go out;erlöschen (erlischt, erlosch, erloschen)
redeem, ransom, deliver;erlösen
remind, admonish, exhort;ermahnen
exhaustion, fatigue;Ermattung (f., -n)
ascertain, find out;ermitteln
enable, facilitate, permit, allow;ermöglichen
murder;ermorden
tire, wear out, fatigue, irk;ermüden
tiring, exhausting, wearying;ermüdend
encourage, hearten, embolden, comfort;ermutigen
nourish, feed;ernähren
nominate, appoint;ernennen
renewable;erneuerbar
renew, repair, renovate;erneuern
earnest, serious, stern;ernst
seriously, earnestly, gravely;ernsthaft
harvest (n.);Ernte (f., -n)
reap, harvest, gather;ernten
conquer, take in, take over;erobern
open, inaugurate;eröffnen
argue, discuss, debate, reason, dispute;erörtern
extort, blackmail;erpressen
guess;erraten
agitate, excite, provoke, stir up;erregen
achieve;erreichen
break even;erreichen die Gewinnzone
erect, raise, plant, establish;errichten
achieve, score, gain;erringen
substitute, replacement, backup, refund;Ersatz (m., ¨-e)
create, make;erschaffen
shiver;erschauern
appear, seem;erscheinen
shoot dead;erschießen
slay, strike dead;erschlagen
sap, exhaust, wear out;erschöpfen
frighten, startle, shock;erschrecken (erschrickt, erschrak, erschrocken)
shake, move, affect strongly;erschüttern
concussion, jolt, shock, vibration;Erschütterung (f., -en)
displace, replace, repair, refund;ersetzen
spot, spy;erspähen
save, spare;ersparen
savings;Ersparnis (f., -sse)
only;erst
only recently;erst vorkurzen
stiffen, solidify, congeal;erstarren
astonishment, amazement, surprise;Erstaunen (n.)
astounding, amazing, surprising;erstaunlich
create, generate, compile, build;erstellen
asphyxiate, suffocate, choke, smother;ersticken
worthwhile, desirable;erstrebenswert
request something;ersuchen um
catch, find (as in a thief);ertappen
bestow, impart;erteilen
yield, return, revenue, gain, crop;Ertrag (m., ¨-e)
endure, tolerate, undergo, sustain;ertragen
tolerable, bearable;erträglich
earning power, profitability;Ertragskraft (f.)
grow up, mature;erwachsen
adulthood;Erwachsensein (n.)
ponder, deliberate, weigh, balance;erwägen
elect;erwählen
mention;erwähnen
expect;erwarten
anticipation, expectation;Erwartung (f., -en)
expectant, hopeful;erwartungsvoll
awaken, arouse;erwecken
prove to be;erweisen sich
widen, expand, enlarge, amplify;erweitern
acquire, vest, gain;erwerben
labor force, working population;Erwerbstätigen (pl.)
reply, return;erwidern
nab, catch (legal);erwischen
desire, wish for;erwünschen
narrate, relate, recount;erzählen
spawn, manufacture, generate, clone;erzeugen
manufactured item, product, produce;Erzeugnis (n., -sse)
educate, train, bring up, rear;erziehen
education;Erziehung (f.)
reach, attain, achieve;erzielen
it is expected;es wird angenommen
it's drafty;es zieht
chimney;Esse (f.)
eat;essen (ißt, aß, gegessen)
vinegar;Essig (m.)
dining room;Eßzimmer (n., --)
ethics;Ethik (f.)
ethnic;ethnisch
several, a number of, quite a few;etliche
somewhat of;etwas wie
European;europäisch
eternal, everlasting;ewig
exact;exakt
existing;existieren
extra;extra
eccentric, bizarre;exzentrisch
subject, course, pocket, compartment;Fach (n., ¨-e)
torch, flare, baton;Fackel (f., -n)
tasteless, boring, insipid;fade
able, competent, capable;fähig
search for (officially);fahnden
mobile;fahrbar
travel;fahren (fährt, fuhr, gefahren)
driver;Fahrer (m., --)
careless, negligent;fahrlässig
negligence;Fahrlässigkeit (f.)
schedule;Fahrplan (m., ¨-e)
elevator;Fahrstuhl (m., ¨-e)
vehicle;Fahrzeug (n., -e)
convoy of trucks;Fahrzeugkolonne (f., -n)
feces, excrement, fecal matter;Fäkalien (pl.)
actually, in fact;faktisch
fall;fallen (fällt, fiel, gefallen)
abandon, drop (as in a plan);fallen lassen
due, payable, mature;fällig
in case;falls
misjudge, misassess;falsch einschätzen
fold, wrinkle, crease;falten
following, appeal (as in having fans);Fangemeinde (f.)
catch;fangen (fängt, fing, gefangen)
colored (as in pearl-colored);farben (z.B. perlfarben)
colorless, pallid, sallow;farblos
filament, fiber;Faser (f.)
barrel, vat, tub;Faß (n., ¨-sse)
prepare, seize, grasp, take hold of;fassen
composure;Fassung (f., -en)
spit, hiss;fauchen
lazy, sluggish, rotten;faul
mitten;Fausthandschuh (m., -e)
fight;fechten (ficht, focht, gefochten)
sweep, clean;fegen
err, do wrong;fehlen
celebrate;feiern
cowardly;feig
coward;Feigling (m., -e)
haggle about;feilschen um
enemy, foe, adversary;Feind (m., -e)
hostile;feindselig
hostility;Feindseligkeit (f., -en)
fat, stout;feist
field;Feld (n., -er)
sergeant;Feldwebel (m., --)
campaign, expedition;Feldzug (m., ¨-e)
rock, boulder;Felsen (m., --)
window sill;Fensterbank (f., ¨-e)
piglet;Ferkel (n., --)
far, distant, remote;fern
distance;Ferne (f., -n)
furthermore, in addition;ferner
telecommunications;Fernmeldewesen (n.)
watch TV;fernsehen
heel;Ferse (f., -n)
cope with, handle;fertig werden mit
dispense with;fertig werden ohne
engross, enthrall, captivate;fesseln
solid, firm, sound;fest
get stuck;festfahren sich
deadlocked;festgefahren
fixed, set, defined, stipulated;festgelegt
fixed, set;festgesetzt
retain, hold on to, preserve;festhalten
fix, set, dimension, stipulate;festlegen
festive;festlich
moor, fasten down, tighten, secure;festmachen
mooring;Festmachen (n.)
arrest, apprehension (n.);Festnahme (f.)
seize, arrest;festnehmen
fix, decree;festsetzen
festival;Festspiel (n., -e)
ascertain;feststellen
fortress, citadel;Festung (f., -en)
procession, pageant;Festzug (m., ¨-e)
oily, greasy;fetten
obese, fat;fettleibig
shred, rag;Fetzen (m.)
muggy, wet, damp, clammy;feucht
spruce tree;Fichte (f., -n)
invidious, low-down, evil;fies
branch, subsidiary, location;Filiale (f., -en)
financial;finanziel
finance;finanzieren
find;finden (findet, fand, gefunden)
sinister, gloomy;finster
darkness;Finsternis (f.)
fisherman;Fischer (m., --)
wings;Fittiche (pl.)
quick, sharp;fix
worn out, worn down;fix und fertig
area, surface, plain, acreage;Fläche (f.)
flicker, flare, glimmer, glint;flackern
flame (n.);Flamme (f., -n)
bottle;Flasche (f., -n)
flap, flutter, thrash, wave, stream;flattern
down, fluff, feathers;Flaum (m.)
twist, braid;flechten (flicht, flocht, geflochten)
mark, blot, stain (n.) ;Fleck (m., -en)
beg for, entreat, plead for;flehen um
entreatingly, imploringly;flehentlich
entreat, beseech;flehentlich bitten
diligent, industrious;fleißig
mend, patch, darn;flicken
lilac;Flieder (m., --)
fly;fliegen (fliegt, flog, geflogen)
flee;fliehen (flieht, floh, geflohen)
tile, slab;Fliese (f., -n)
flow;fließen (fließt, floß, geflossen)
glimmer;flimmer
honeymoon;Flitterwochen (pl.)
flit, scamper, whiz;flitzen
flea;Floh (m., ¨-e)
float, raft (v.);flößen
curse, spell (n.);Fluch (m., ¨-e)
flee, escape;flüchten
fleeting, superficial, evanescent;flüchtig
fugitive, refugee;Flüchtling (m., -e)
airline ticket;Flugschein (m., -e)
plain, fields;Flur (f., -en)
passage, entrance hall;Flur (m., -e)
downstream;flussabwärts
upstream;flussaufwärts
whisper;flüstern
flood;Flut (f., -en)
federal;föderativ
pine tree (n.);Föhre (f., -n)
follow, comprehend;folgen
follow (temporally);folgen auf
follow (logically);folgen aus
deduce, induce;folgern
conclusion, inference, implication;Folgerung (f., -en)
aftermath;Folgezeit (f.)
accordingly, thereby, consequently, thus;folglich
torture;foltern
hair dryer;Fön (m.)
fountain;Fontäne (f.)
strain, overdo, forced;forcieren
output, fluid quantity (as in oil);Fördermenge (f., -n)
claim, ask for;fordern
support, sponsor, promote;fördern
claim (legal), demand;Forderung (f., -en)
delivery, advancement, furthering;Förderung (f., -en)
formal;formell
form, mold, shape, adapt;formen
formality, matter of form;Formsache (f., -n)
formulate, draft, word;formulieren
dashing;forsch
search, enquire about;forschen
expedition;Forschungsreise (f., -n))
henceforth, from then on;fortan
persist, continue;fortdauern
continue, proceed;fortfahren (braucht inf. oder dativ Subst.)
process;Fortgang (m., ¨-e)
progress, advance;fortschreiten
progress, headway, advance;Fortschritt (m.)
continue, carry on;fortsetzen (kein inf. Oder dativ Subst.)
to be continued;Fortsetzung folgt
perpetual, unceasing;fortwährend
move away, migrate;fortziehen
freighter;Frachter (m., --)
freighter, cargo ship;Frachtschiff (n., -e)
questionable, doubtful;fragwürdig
amaze, astonish, astound;frappieren
baron;Freiherr (m., -en)
To be sure! Indeed! Sure enough!;Freilich! 
acquit, discharge;freisprechen
voluntary;freiwillig
permissive, unreserved;freizügig
foreign, strange, exotic;fremdärtig
guest room, spare room, bed and breakfast;Fremdenzimmer (n., --)
eat (animals);freßen (frißt, fraß, gefressen)
joyful;freudig
look forward to;freuen sich darauf
friendship;Freundschaft (f., -en)
Glad [to meet you];Freut mich. 
peaceful;friedfertig, friedlich
cemetery, graveyard;Friedhof (m., ¨-e)
freeze;frieren (friert, fror, gefroren)
term, allotted time, respite;Frist (f., -en)
pious, devout;fromm
frog;Frosch (m., ¨-e)
fruitful, fertile, fecund, productive;fruchtbar
earlier, former;früher
precocious;frühreif
early, premature;frühzeitig
Feel at home.;Fühlen Sie sich wie zu Hause. 
contact (as in, in touch with);Fühlung (pl.)
guide, lead;führen
leading, foremost, guiding;führend
fiddle around with, pet, fumble;fummeln
twinkle, sparkle, glitter, flash;funkeln
pager, receiver;Funkempfänger (m., -)
function, operate, work;funktionieren
pro and con;für und wider
furrow, rut, groove;Furche (f., -n)
fear (intellectual sense, awe);fürchten
fear, dread, be afraid of;fürchten sich vor
dreadful, terrible, awful;fürchterlich
prince;Fürst (m.)
floor;Fußboden (m., ¨-)
pedestrian;Fußgänger (m., --)
footstep;Fußstapfe (f., -n)
bust, broke, gone;futsch
fork out, fork over;gabeln sich
cluck;gackern
yawn;gähnen
bum, loafer;Gammler (m., --)
aisle, corridor, channel;Gang (m., ¨-e)
popular, prevalent, current;gängig
monumental;ganz erheblich
no matter;ganz gleich
very, quite;gar
drapes;Gardine (pl.)
nasty, loathsome, ugly;garstig
guest room, guest bedroom;Gästezimmer (n., --)
host;Gastgeber (m., --)
hospitality;Gastlichkeit (f.)
hospitality (w.r.t. commerce);Gastwirtschaft (f., -en)
husband, spouse;Gatte (m., --)
gate;Gatter (n., --)
kind, sort, species, genus, type;Gattung (f., -en)
rogue, swindler, cheat, con man, crook;Gauner (m., --)
outlaw;Geächteter (m., -n)
gesture (n.);Gebärde (f., -n)
behave, act;gebärden sich
birth, bear;gebären (gebiert, gebar, geboren)
womb, uterus;Gebärmutter (f., --)
give;geben (gibt, gab, gegeben)
district, territory, jurisdiction;Gebiet (n., -e)
command, order;gebieten
imperious, magisterial, commanding;gebieterisch
mountain range;Gebirge (n., --)
snug, secure, safe;geborgen
decree, order, commandment;Gebot (n., -e)
use;gebrauchen
common, customary;gebräuchlich
directions for use, instructions;Gebrauchsanweisung (f.)
frail, weak, rickety;gebrechlich
fee, duty;Gebühr (f., -en)
birthplace;Geburtshaus (n., ¨-e)
memory, recollection;Gedächtnis (f.)
muted, hushed;gedämpft
thought;Gedanke (f., -n)
thrive;gedeihen (gedeiht, gedieh, gediehen)
crowded, congested;gedrängt
stocky;gedrungen
patient;geduldig
qualified, suitable, eligible;geeignet
danger, peril, risk (n.);Gefahr (f., -en)
run the risk of;Gefahr laufen zu (f.)
endanger, imperil;gefährden
dangerous;gefährlich
vehicle;Gefährt (n., -e)
companion, comrade;Gefährte (m., -n)
descent, gradient;Gefälle (n., --)
pleasure, liking;Gefallen (m.)
pleasing;gefällig
imprisoned, captive, caught;gefangen
composed, conceived;gefasst
fight, battle, engagement;Gefecht (n., -e)
assiduous, studious;geflissentlich
private (mil.);Gefreiter (m., --)
feeling, emotion, sentiment;Gefühl (n., -e)
region, quarter, spot, surroundings;Gegend (f.)
contrast, opposition, complement;Gegensatz (m., ¨-e)
mutual, reciprocal;gegenseitig
object, thing, subject, issue (n.);Gegenstand (m., ¨-e)
abstract, unfounded;gegenstandlos
antonym, opposite (n.);Gegenteil (n., -e)
across, opposite;gegenüber
confront, face, oppose, contrast;gegenüberstellen
presence, present tense;Gegenwart (f.)
current, present day, contemporary;gegenwärtig
resistance (mil.);Gegenwehr (f.)
adverse, antagonistic;gegnerisch
content, capacity;Gehalt (f., -e)
salary, pay;Gehalt (n., ¨-er)
trivial, insubstantial;gehaltlos
enclosure (zoo), park;Gehege (n., -n)
secret, clandestine;geheim
secret service, intelligence service;Geheimdienst (m.)
go, walk;gehen (geht, ging, gegangen)
ambulatory, able to walk;gehfähig
brain;Gehirn (n., -e)
obey;gehorchen
belong to;gehören
belong (as part of a larger group or entity);gehören zu
obedient, submissive, dutiful;gehorsam
sidewalk;Gehsteig (m., -e)
vulture;Geier (n., --)
fiddle, violin;Geige (f., -n)
lascivious, wanton, luxurious;geil
hostage;Geißel (f., -n)
mind, spirit;Geist (m., -er)
ghostly;geisterhaft
flash of genius, brainstorm, inspiration;Geistesblitz (m., -e)
mental, intellectual, mentally;geistig
mentally handicapped or retarded;geistig behindert
sane;geistig gesund
deranged, disturbed;geistig verwirrt
spiritual, clerical, ecclesiastic;geistlich
lamentation, cant;Gejammer (n.)
drinking bout, fest;Gelage (n., --)
calm, composed, collected;gelassen
ATM machine;Geldautomat (m., -en)
amount of money;Geldbetrag (m., ¨-e)
bank debt;Geldschuld (f.)
occasion, chance, opportunity;Gelegenheit (f., -en)
occasional, incidental;gelegentlich
scholar;Gelehrter (m., --)
accompany, escort;geleiten
convoy;Geleitzug (m., ¨-e)
joint (anat.), hinge, link;Gelenk (n., -e)
succeed;gelingen (gelingt, gelang, gelungen)
cost, be worth, count as, hold;gelten (gilt, galt, gegolten)
leisurely, unhurried, comfortable, easy;gemächlich
pursuant to, as per, according to;gemäß
moderate, temperate;gemäßigt
community, township, parish, borough;Gemeinde (f., -n)
common, joint, shared, together;gemeinsam
community, association;Gemeinschaft (f., -en)
community;Gemeinwesen (n.)
canned vegetables;Gemüsekonserven (pl.)
comfortable, cozy, snug, pleasant;gemütlich
massacre, butchery;Gemützel (n.)
exactly;genau
just as, exactly as;genauso
agreeable, acceptable;genehm
approve of, ratify, permit;genehmigen
staff headquarters, general staff;Generalstab (m.)
general, common;generell
recover, convalesce;genesen (genest, genas, genesen)
nape or back of neck;Genick (n., -e)
to be embarrassed;genieren sich
embarrassed;geniert
enjoy;genießen (genießt, genoß, genossen)
companion, mate, comrade;Genosse (m., -n)
genetic;gentechnisch
genetically altered;gentechnish verändert
suffice, make do, satisfy;genügen
frugal;genügsam
enjoyment, pleasure, use, consumption;Genuß (m.)
hedonistic;genußsüchtig
well-kempt, spruce, tidy, cultivated;gepflegt
custom (cultural) (n.);Gepflogenheit (f., -en)
small talk, chit chat;Geplauder (n.)
forced, pained;gequält
straight, directly, just, just now, even;gerade
device, appliance, set;Gerät (n., -e)
turn out, come upon;geraten
roomy, spacious;geräumig
sound, noise;Geräusch (n.)
just, fair, righteous;gerecht
gossip, talk, rumor (n.);Gerede (n.)
dish (entree), court of law;Gericht (n., -e)
legal, judicial;gerichtlich
small, petty, unimportant;gering
negligible, trivial, insignificant;geringfügig
low-value, cheap;geringwertig
cunning, crafty;gerissen
debris;Geröll (n.)
smell, odor;Geruch (m., ¨-e)
rumor;Gerücht (n., -e)
entire, complete;gesamt
sum total, grand total;Gesamtbetrag (m., ¨-e)
total, total number;Gesamtzahl (f., ¨-e)
embassy;Gesandschaft (f., -en)
envoy, messenger, ambassador;Gesandte (m., -n)
executive board, managing body;Geschäftsleitung (f., -en)
occur;geschehen (geschieht, geschah, geschehen)
incident, event;Geschehnis (n., -sse)
clever, intelligent, bright;gescheit
gift;Geschenk (n., -e)
story, history;Geschichte (f., -n)
skill, deftness, luck, fortune;Geschick (n.)
divorced;geschieden
taste (n.);Geschmack (m., ¨-er)
limber, flexible, pliable, supple;geschmeidig
creature;Geschöpf (n., -e)
not to mention, much less, let alone;geschweige, denn
fast, nimble, quick, fleet;geschwind
siblings;Geschwister (pl.)
jury;Geschworenen (pl.)
juror;Geschworener (m., --)
companion, friend;Geselle (m., --)
consort with, accompany, join s.o.;gesellen sich zu
society, community, company;Gesellschaft (f., -en)
law, bill, act;Gesetz (n., -e)
legislator;Gesetzgeber (m., --)
legislation;Gesetzgebung (f., -en)
let us assume, let us suppose;gesetzt den Fall
sight, vision, apparition;Gesicht (n., -e)
face, physiognomy, look;Gesicht (n., -er)
horizon;Gesichtskreis (m.)
thrilled, tense, eager;gespannt
ghost, spirit, wraith;Gespenst (n., -er)
conversation;Gespräch (n., -e)
shore;Gestade (n., --)
form, shape, image (n.);Gestalt (f.)
form, shape, construct, pattern;gestalten
confession, avowal;Geständnis (n., -sse)
stench, malodour, reek;Gestank (m., ¨-e)
allow, permit;gestatten
admit, confess, own up, avow;gestehen
gesture;Gestik (f., -en)
yesterday's, of yesterday;gestrig
brush, undergrowth;Gestrüpp (n., -e)
in demand;gesucht
din;Getöse (n.)
grain, cereal(s);Getreide (n., --)
driven, impelled;getrieben
force, authority, violence;Gewalt (f., -en)
separation of powers;Gewaltenteilung (f., -en)
formidable, mighty, enormous;gewaltig
violent, by force;gewaltsam
act of violence;Gewalttat (f., -en)
nimbleness, dexterity;Gewandtheit (f.)
aware of;gewärtig sein
commercial, industrial;gewerblich
lift weights;Gewichte stemmen
weighty, ponderous;gewichtig
profit, return (n.);Gewinn (m.)
realize a profit, make a profit;Gewinn bringen oder erzielen
win, gain;gewinnen (gewinnt, gewann, gewonnen)
output, production, winnings;Gewinnung (f., -en)
Sure! Certainly!;Gewiß! 
conscience;Gewissen (n.)
conscientiously, assiduously;gewissenhaft
unscrupulous, unprincipled;gewissenlos
remorse, pangs of guilt, compunction;Gewissensbisse (pl.)
quasi, to some extent, effectively;gewissermaßen
thunderstorm, thunderbolt;Gewitter (n., --)
usually;gewöhnlich
winding, twisted, sinuous, convoluted;gewunden
condiment, spice, flavoring;Gewürz (n., -e)
aimed, targeted, directed;gezielt
forced, compelled, under coercion;gezwungen
Don't fuss so. Don't brag so.;Gib nicht so an! 
pour;gießen (gießt, goß, gegossen)
poisonous, toxic;giftig
summit, peak;Gipfel (m., --)
culminate;gipfeln
plaster, gypsum;Gips (m.)
garland;Girlande (f., -n)
grating, trellis, railing;Gitter (n., --)
glamour, luster, brilliance;Glanz (m.)
glitter, glisten, shine, twinkle;glänzen
bright, gleaming, lustrous;glänzend
smooth, even, glossy;glatt
creditor;Gläubiger (m., --)
credible, believable;glaublich
authentic, plausible, worthy of belief;glaubwürdig
same, equal, at once, almost;gleich
whatever;gleich aus welche
kindred, homogenous, similar, uniform;gleichartig
be like, equal;gleichen (gleicht, glich, geglichen)
alike;gleicherweise
likewise, same to you;gleichfalls
balance, equilibrium;Gleichgewicht (n.)
indifferent, ambivalent, unconcerned;gleichgültig
equally, uniformly;gleichmäßig
stoicism, equanimity;Gleichmut (m.)
nevertheless, however, yet;gleichwohl
simultaneous, contemporary;gleichzeitig
slide, glide;gleiten (gleitet, glitt, geglitten)
weed;Glimmstängel (m., --)
mild, light, lenient;glimpflich
stare, goggle, gawk;glotzen
succeed;glücken
blissfully, blissful;glückselig
lucky devil;Glückspilz (m., -e)
gambler;Glücksspieler (m., --)
